getpwuid_r did not find a match for uid 501
Filtering the log data using "subsystem == "kc.debug""
Timestamp               Ty Process[PID:TID]
2026-09-08 16:27:52.550 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=329.764087498188 prev=327.66807317733765 kbH=335.0 frameY=544.235912501812 anim=set from=0.0 to=335.0 inc=true fin=false last=329.6463329302612
2026-09-08 16:27:52.550 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] EMIT onKeyboardMove pos=331.18805835561204 progress=0.9886210697182449
2026-09-08 16:27:52.566 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[position] crossFade=false opacity=1.0 frameY=542.7292006611824 windowH=874.0 -> position=331.2707993388176 presentation=set
2026-09-08 16:27:52.566 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=331.2707993388176 prev=329.764087498188 kbH=335.0 frameY=542.7292006611824 anim=set from=0.0 to=335.0 inc=true fin=false last=331.18805835561204
2026-09-08 16:27:52.566 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] EMIT onKeyboardMove pos=332.2916023514196 progress=0.9919152308997601
2026-09-08 16:27:52.583 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[position] crossFade=false opacity=1.0 frameY=541.6515915989876 windowH=874.0 -> position=332.3484084010124 presentation=set
2026-09-08 16:27:52.583 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=332.3484084010124 prev=331.2707993388176 kbH=335.0 frameY=541.6515915989876 anim=set from=0.0 to=335.0 inc=true fin=false last=332.2916023514196
2026-09-08 16:27:52.583 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] EMIT onKeyboardMove pos=333.07863474555535 progress=0.9942645813300159
2026-09-08 16:27:52.600 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[position] crossFade=false opacity=1.0 frameY=540.879925429821 windowH=874.0 -> position=333.120074570179 presentation=set
2026-09-08 16:27:52.600 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] tick pos=333.120074570179 prev=332.3484084010124 kbH=335.0 frameY=540.879925429821 anim=set from=0.0 to=335.0 inc=true fin=false last=333.07863474555535
2026-09-08 16:27:52.600 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] EMIT onKeyboardMove pos=333.640885067436 progress=0.9959429404998089
2026-09-08 16:27:52.616 I  KeyboardControllerExample[60557:2799d1] [kc.debug:keyboard] frame keys=[position] crossFade=false opacity=1.0 frameY=540.3270238041878 windowH=874.0 -> position=333.6729761958122 presentation=set
